Timestamp (s),Transcription,Sentiment
0,,Neutral
5,"Okay, so the",Positive
10,you're going to complete and use the key and the object detection system so that means you will not need to.,Neutral
15,"operate vehicle, checking your needs off the steering wheel and meet up the pedals, once we begin that drive.",Neutral
20,"Okay, so when you see that some driver indicator highlight green make sure you don't get the break at any point during",Positive
25,drive. This dot the car cab look at will have the hood yes for getting visual,Positive
30,"for targets that are in the environment. The car cabboultch, outshapage, that screen, tape them.",Neutral
35,and it went out to turn the mission. Remember to tap the targets on that ODS as well as completing the booth.,Positive
40,on board. Sometimes you can see all his workstation tests.,Neutral
45,"Alright, so all drivers picture fit on the brake. You're not removing it.",Positive
50,your foot from the brake until I instruct you to remove it or cap driver you may start the car.,Neutral
55,I'll drive with your foot still on the brake.,Neutral
60,You drove through me.,Neutral
65,www.carcabtriver.com,Neutral
70,,Neutral
75,"go back, hardcap driver and only the car kept driving.",Neutral
80,"Yes. Yeah, right. Make sure everyone isn't drive.",Positive
85,I am now in drive.,Neutral
90,Maybe get moving forward.,Neutral
95,So drone is it available...,Neutral
100,some driver on.,Neutral
105,1 hour,Neutral
110,"Dodge that, because body car! Sgotter! Yeah, has it gone...",Positive
115,Gift. But bad.,Negative
120,It's driving out of it.,Neutral
125,I see scooters on both sides of the road,Neutral
130,this one. Yeah it's like motorcycles.,Positive
135,"Yeah, that's on the other side of the road. Passing now",Positive
140,at the end of the $rowback,Neutral
145,,Neutral
150,Do you have any target? Not yet. I hit...,Neutral
155,"I'll get a 10-and-fight, but... Yes, well... Okay.",Positive
160,Those motorcycles were giving me a car.,Positive
165,It's kind of beat up. There's a box on the roof. Yeah. Pass R-C.,Positive
170,10 o'clock. I think we used.,Neutral
175,I'm a bad size. You're a bad guy. I'm a bug. Puzzing now. Yep.,Negative
180,We're also passing it out. Part one.,Neutral
185,on,Neutral
190,three so far behind car two.,Neutral
195,Yes.,Positive
200,,Neutral
205,There's hard to catch.,Negative
210,Is the ODS working?,Neutral
215,"Yes, sometimes there is a green bud there. This identify that.",Positive
220,"No, you won't see anything, but that might see something in the passenger seat of Podia.",Negative
225,It should be a wide car right now.,Neutral
230,ignoring Maybe a guy andullen But That's period And right right And 28 28 28 29 27,Negative
235,"And with SUVs as in here, SUVs",Neutral
240,I see a camel.,Neutral
245,L that cars come,Neutral
250,There's a driving white car on the left.,Neutral
255,yeah hasection,Positive
260,I think that was it. Yeah. We have another way to...,Positive
265,SUV and passing that one left now.,Neutral
270,now is up.,Neutral
275,,Neutral
280,passing military checkpoint,Neutral
285,Um. I'm nearer â€“,Neutral
290,Ces oluyor.,Neutral
295,covering it is gone fifth model.,Neutral
300,Yeah,Positive
305,,Neutral
310,"Jack, do you feel like this is good?",Positive
315,"you enough to understand or do you want to continue? Yeah, I see.",Positive
320,I think it's how about you comment it. I think it's enough.,Neutral
325,I mean I'm having fun but we can stop if you want to.,Negative
330,And we kill it. So... All dry.,Negative
335,"Okay, come here.",Positive
340,of breaking out.,Neutral
345,Please don't run through me. No.,Neutral
350,We've been we're ended,Neutral
355,park now.,Neutral
